Year,Serie,Value
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.1
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.7
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.7
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.8
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.6
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",14.9
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",15.3
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.6
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",19.9
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",20.1
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.6
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.6
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.4
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",19.2
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",16.1
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",14.9
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",17.0
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",19.3
