Year,Serie,RefArea,Value
2010,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2011,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2012,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2013,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2014,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2015,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2016,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2017,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2018,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2019,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2020,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2021,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2022,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,España,1.00
2010,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2011,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2012,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2013,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2014,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2015,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2016,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2017,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2018,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2019,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2020,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2021,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2022,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
2023,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,Cantabria,1.00
