Year,Serie,RefArea,Value
2010,Incidencia de la malaria,España,0.00
2011,Incidencia de la malaria,España,0.00
2012,Incidencia de la malaria,España,0.00
2013,Incidencia de la malaria,España,0.00
2014,Incidencia de la malaria,España,0.00
2015,Incidencia de la malaria,España,0.00
2016,Incidencia de la malaria,España,0.00
2017,Incidencia de la malaria,España,0.00
2018,Incidencia de la malaria,España,0.00
2019,Incidencia de la malaria,España,0.00
2020,Incidencia de la malaria,España,0.00
2021,Incidencia de la malaria,España,0.00
2022,Incidencia de la malaria,España,0.00
2023,Incidencia de la malaria,España,0.00
2010,Incidencia de la malaria,Cantabria,0.00
2011,Incidencia de la malaria,Cantabria,0.00
2012,Incidencia de la malaria,Cantabria,0.00
2013,Incidencia de la malaria,Cantabria,0.00
2014,Incidencia de la malaria,Cantabria,0.00
2015,Incidencia de la malaria,Cantabria,0.00
2016,Incidencia de la malaria,Cantabria,0.00
2017,Incidencia de la malaria,Cantabria,0.00
2018,Incidencia de la malaria,Cantabria,0.00
2019,Incidencia de la malaria,Cantabria,0.00
2020,Incidencia de la malaria,Cantabria,0.00
2021,Incidencia de la malaria,Cantabria,0.00
2022,Incidencia de la malaria,Cantabria,0.00
2023,Incidencia de la malaria,Cantabria,0.00
2010,Incidencia de la malaria en los hombres,España,0.00
2011,Incidencia de la malaria en los hombres,España,0.00
2012,Incidencia de la malaria en los hombres,España,0.00
2013,Incidencia de la malaria en los hombres,España,0.00
2014,Incidencia de la malaria en los hombres,España,0.00
2015,Incidencia de la malaria en los hombres,España,0.00
2016,Incidencia de la malaria en los hombres,España,0.00
2017,Incidencia de la malaria en los hombres,España,0.00
2018,Incidencia de la malaria en los hombres,España,0.00
2019,Incidencia de la malaria en los hombres,España,0.00
2020,Incidencia de la malaria en los hombres,España,0.00
2021,Incidencia de la malaria en los hombres,España,0.00
2022,Incidencia de la malaria en los hombres,España,0.00
2023,Incidencia de la malaria en los hombres,España,0.00
2010,Incidencia de la malaria en los hombres,Cantabria,0.00
2011,Incidencia de la malaria en los hombres,Cantabria,0.00
2012,Incidencia de la malaria en los hombres,Cantabria,0.00
2013,Incidencia de la malaria en los hombres,Cantabria,0.00
2014,Incidencia de la malaria en los hombres,Cantabria,0.00
2015,Incidencia de la malaria en los hombres,Cantabria,0.00
2016,Incidencia de la malaria en los hombres,Cantabria,0.00
2017,Incidencia de la malaria en los hombres,Cantabria,0.00
2018,Incidencia de la malaria en los hombres,Cantabria,0.00
2019,Incidencia de la malaria en los hombres,Cantabria,0.00
2020,Incidencia de la malaria en los hombres,Cantabria,0.00
2021,Incidencia de la malaria en los hombres,Cantabria,0.00
2022,Incidencia de la malaria en los hombres,Cantabria,0.00
2023,Incidencia de la malaria en los hombres,Cantabria,0.00
2010,Incidencia de la malaria en las mujeres,España,0.00
2011,Incidencia de la malaria en las mujeres,España,0.00
2012,Incidencia de la malaria en las mujeres,España,0.00
2013,Incidencia de la malaria en las mujeres,España,0.00
2014,Incidencia de la malaria en las mujeres,España,0.00
2015,Incidencia de la malaria en las mujeres,España,0.00
2016,Incidencia de la malaria en las mujeres,España,0.00
2017,Incidencia de la malaria en las mujeres,España,0.00
2018,Incidencia de la malaria en las mujeres,España,0.00
2019,Incidencia de la malaria en las mujeres,España,0.00
2020,Incidencia de la malaria en las mujeres,España,0.00
2021,Incidencia de la malaria en las mujeres,España,0.00
2022,Incidencia de la malaria en las mujeres,España,0.00
2023,Incidencia de la malaria en las mujeres,España,0.00
2010,Incidencia de la malaria en las mujeres,Cantabria,0.00
2011,Incidencia de la malaria en las mujeres,Cantabria,0.00
2012,Incidencia de la malaria en las mujeres,Cantabria,0.00
2013,Incidencia de la malaria en las mujeres,Cantabria,0.00
2014,Incidencia de la malaria en las mujeres,Cantabria,0.00
2015,Incidencia de la malaria en las mujeres,Cantabria,0.00
2016,Incidencia de la malaria en las mujeres,Cantabria,0.00
2017,Incidencia de la malaria en las mujeres,Cantabria,0.00
2018,Incidencia de la malaria en las mujeres,Cantabria,0.00
2019,Incidencia de la malaria en las mujeres,Cantabria,0.00
2020,Incidencia de la malaria en las mujeres,Cantabria,0.00
2021,Incidencia de la malaria en las mujeres,Cantabria,0.00
2022,Incidencia de la malaria en las mujeres,Cantabria,0.00
2023,Incidencia de la malaria en las mujeres,Cantabria,0.00
