Year,Serie,Age,Sex,Value
2010,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.0
2011,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.1
2012,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.0
2013,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.0
2014,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.1
2015,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.1
2016,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.1
2017,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.0
2018,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,10 a 14 años,Mujer,0.0
2010,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,6.9
2011,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,6.2
2012,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,5.4
2013,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,4.8
2014,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,4.7
2015,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,4.3
2016,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,4.3
2017,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,4.8
2018,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,15 a 19 años,Mujer,2.7
