Year,Serie,RefArea,Value
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2016,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2018,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2020,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.00
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2016,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2018,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2020,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.00
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,80.60
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,86.70
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,89.80
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,91.50
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,92.70
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,94.60
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,96.80
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,97.40
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,96.80
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,96.80
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,96.10
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.30
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.40
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.10
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.90
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,99.10
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,4.30
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.50
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.20
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.10
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.00
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.00
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.00
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,2.90
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,2.50
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,4.50
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.50
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.50
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.10
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.00
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,2.80
