Year,Serie,RefArea,Value
2012,"Proporción de hogares cubiertos con redes móviles 3,5G",España,96.40
2013,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.00
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",España,98.90
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.65
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.72
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.90
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.90
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.91
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",España,99.97
2012,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,95.60
2013,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,98.40
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,98.50
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,99.54
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,99.58
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,99.90
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,99.93
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,99.89
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",Cantabria,99.97
2014,Proporción de hogares cubiertos con redes móviles 4G,España,47.80
2015,Proporción de hogares cubiertos con redes móviles 4G,España,76.35
2016,Proporción de hogares cubiertos con redes móviles 4G,España,94.42
2017,Proporción de hogares cubiertos con redes móviles 4G,España,97.22
2018,Proporción de hogares cubiertos con redes móviles 4G,España,99.53
2019,Proporción de hogares cubiertos con redes móviles 4G,España,99.77
2020,Proporción de hogares cubiertos con redes móviles 4G,España,99.87
2021,Proporción de hogares cubiertos con redes móviles 4G,España,99.91
2022,Proporción de hogares cubiertos con redes móviles 4G,España,99.89
2023,Proporción de hogares cubiertos con redes móviles 4G,España,99.84
2014,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,29.60
2015,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,68.80
2016,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,96.91
2017,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,97.91
2018,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,99.52
2019,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,99.66
2020,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,99.82
2021,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,99.93
2022,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,99.89
2023,Proporción de hogares cubiertos con redes móviles 4G,Cantabria,99.84
