Year,Serie,RefArea,Value
,,"ES13	--	_L_ES_030801_01	2019	Y_GE16	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de condiciones de vida, INE				27/01/2025",
,,"ES13	-0,07	_L_ES_170301_2A	2013	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Registro de inversiones exteriores, Ministerio de Industria, Comercio y Turismo.Contabilidad regional de España, Instituto Nacional de Estadística (INE)				27/01/2025",
,,"ES13	-0,10	_L_ES_100101_03	2022	_T	_T	A	_L	REGIONS	_T	B40	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,11	_L_ES_080201_1B	2011	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Contabilidad regional de España, INE				27/01/2025",
,,"ES13	-0,13	_L_ES_100101_02	2012	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,16	SL_EMP_PCAP	2023	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Contabilidad regional de España, INE	Contabilidad regional de España, INE			27/01/2025",
,,"ES13	-0,20	_L_ES_171301_09	2014	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Índice de precios de consumo, Instituto Nacional de Estadística (INE)				27/01/2025",
,,"ES13	-0,24	_L_ES_100101_03	2015	_T	_T	A	_L	REGIONS	_T	B40	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,28	_L_ES_171301_20	2018	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Operaciones no financieras del sector administraciones públicas y sus subsectores, Ministerio de Hacienda y Función Pública				27/01/2025",
,,"ES13	-0,30	_L_ES_171301_09	2020	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Índice de precios de consumo, Instituto Nacional de Estadística (INE)				27/01/2025",
,,"ES13	-0,32	_L_ES_171301_02	2010	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Contabilidad regional de España, Instituto Nacional de Estadística (INE)				27/01/2025",
,,"ES13	-0,38	_L_ES_100101_02	2022	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,40	_L_ES_100101_02	2021	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,40	_L_ES_171301_09	2016	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Índice de precios de consumo, Instituto Nacional de Estadística (INE)				27/01/2025",
,,"ES13	-0,41	_L_ES_171301_20	2022	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Operaciones no financieras del sector administraciones públicas y sus subsectores, Ministerio de Hacienda y Función Pública				27/01/2025",
,,"ES13	-0,44	_L_ES_171301_20	2017	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Operaciones no financieras del sector administraciones públicas y sus subsectores, Ministerio de Hacienda y Función Pública				27/01/2025",
,,"ES13	-0,49	_L_ES_170301_2A	2019	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Registro de inversiones exteriores, Ministerio de Industria, Comercio y Turismo.Contabilidad regional de España, Instituto Nacional de Estadística (INE)				27/01/2025",
,,"ES13	-0,54	_L_ES_100101_02	2015	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,56	_L_ES_080201_1B	2013	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Contabilidad regional de España, INE				27/01/2025",
,,"ES13	-0,57	_L_ES_100101_02	2016	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,74	_L_ES_080201_1B	2021	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Contabilidad regional de España, INE				27/01/2025",
,,"ES13	-0,77	SL_EMP_PCAP	2019	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Contabilidad regional de España, INE	Contabilidad regional de España, INE			27/01/2025",
,,"ES13	-0,80	NY_GDP_PCAP	2010	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Contabilidad regional de España, INE				27/01/2025",
,,"ES13	-0,90	_L_ES_171301_09	2015	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Índice de precios de consumo, Instituto Nacional de Estadística (INE)				27/01/2025",
,,"ES13	-0,96	_L_ES_171301_20	2019	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Operaciones no financieras del sector administraciones públicas y sus subsectores, Ministerio de Hacienda y Función Pública				27/01/2025",
,,"ES13	-0,99	_L_ES_100101_03	2013	_T	_T	A	_L	REGIONS	_T	B40	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-0,99	_L_ES_100101_03	2014	_T	_T	A	_L	REGIONS	_T	B40	_T	_T	_T	_T	_T	_T	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de presupuestos familiares, INE				27/01/2025",
,,"ES13	-1,08	_L_ES_100101_04	2014	_T	_T	A	_L	REGIONS	_T	_T	_T	_T	_T	_T	_T	_L_MI_NUTS2	_T	0	PT	A	_L_NUTS2	0	0	0	0	0	0	0	Encuesta de condiciones de vida, INE				27/01/2025",
