Year,Serie,Value
2010,"Indicador AROPE, considerando el umbral nacional de pobreza",22.5
2011,"Indicador AROPE, considerando el umbral nacional de pobreza",23.0
2012,"Indicador AROPE, considerando el umbral nacional de pobreza",24.1
2013,"Indicador AROPE, considerando el umbral nacional de pobreza",25.3
2014,"Indicador AROPE, considerando el umbral nacional de pobreza",27.4
2015,"Indicador AROPE, considerando el umbral nacional de pobreza",20.4
2016,"Indicador AROPE, considerando el umbral nacional de pobreza",24.6
2017,"Indicador AROPE, considerando el umbral nacional de pobreza",20.5
2018,"Indicador AROPE, considerando el umbral nacional de pobreza",25.0
2010,"Indicador AROPE, considerando el umbral autonómico de pobreza",22.5
2011,"Indicador AROPE, considerando el umbral autonómico de pobreza",21.1
2012,"Indicador AROPE, considerando el umbral autonómico de pobreza",21.2
2013,"Indicador AROPE, considerando el umbral autonómico de pobreza",21.9
2014,"Indicador AROPE, considerando el umbral autonómico de pobreza",26.5
2015,"Indicador AROPE, considerando el umbral autonómico de pobreza",21.5
2016,"Indicador AROPE, considerando el umbral autonómico de pobreza",24.3
2017,"Indicador AROPE, considerando el umbral autonómico de pobreza",20.4
2018,"Indicador AROPE, considerando el umbral autonómico de pobreza",24.5
2010,Carencia material severa,1.5
2011,Carencia material severa,1.5
2012,Carencia material severa,2.3
2013,Carencia material severa,3.9
2014,Carencia material severa,3.5
2015,Carencia material severa,3.5
2016,Carencia material severa,7.5
2017,Carencia material severa,2.2
2018,Carencia material severa,3.6
2010,Hogares con baja intensidad de trabajo,8.9
2011,Hogares con baja intensidad de trabajo,13.8
2012,Hogares con baja intensidad de trabajo,11.9
2013,Hogares con baja intensidad de trabajo,11.1
2014,Hogares con baja intensidad de trabajo,18.4
2015,Hogares con baja intensidad de trabajo,15.5
2016,Hogares con baja intensidad de trabajo,16.0
2017,Hogares con baja intensidad de trabajo,9.3
2018,Hogares con baja intensidad de trabajo,11.2
