Year,Serie,Age,Sex,Value
2010,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,54.1
2011,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,54.2
2012,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,55.0
2013,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,56.1
2014,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,57.3
2015,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,58.7
2016,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,60.3
2017,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,61.1
2018,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,63.2
2019,Número de personas colegiadas en medicina por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.0
2010,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,68.1
2011,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,67.8
2012,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,68.7
2013,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,70.3
2014,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,71.2
2015,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,73.6
2016,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,76.2
2017,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,78.5
2018,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,81.2
