Year,Serie,Age,Sex,Value
2010,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,90.5
2011,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,92.3
2012,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,93.4
2013,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,91.6
2014,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,94.8
2015,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,96.2
2017,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,95.5
2019,Proporción de personas entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Ambos sexos o no desagregado por sexo,96.0
2010,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,88.2
2011,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,91.3
2012,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,92.8
2013,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,93.4
2014,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,94.6
2015,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,95.9
2017,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,96.6
2019,Proporción de mujeres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Mujer,95.7
2010,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,92.8
2011,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,93.4
2012,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,94.1
2013,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,89.8
2014,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,95.0
2015,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,96.6
2017,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,94.5
2019,Proporción de hombres entre 16 y 74 años que han usado el móvil en los últimos tres meses,16 a 74 años,Hombre,96.3
