Value,en,Disaggregation combinations using this value,Number of indicators
Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,3,3
"Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura","Proporción de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura",1,1
"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación","Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",1,1
Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,1,1
Proporción de mujeres en alta dirección,Proporción de mujeres en alta dirección,1,1
Proporción de mujeres en cargos directivos,Proporción de mujeres en cargos directivos,1,1
"Proporción de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento","Proporción de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento",1,1
"Proporción de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad","Proporción de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad",1,1
"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura","Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura",1,1
"Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas","Proporción de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas",1,1
Proporción de personas con carencia material severa,Proporción de personas con carencia material severa,1,1
"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza","Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",1,1
"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza","Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",1,1
"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza","Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",1,1
"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",1,1
Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,1,1
Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,1,1
Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,1,1
Proporción de personas ocupadas en el sector manufacturero,Proporción de personas ocupadas en el sector manufacturero,1,1
Proporción de personas que se sienten seguras al caminar sola en su zona de residencia,Proporción de personas que se sienten seguras al caminar sola en su zona de residencia,1,1
"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",1,1
"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional","Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",1,1
Proporción de personas viviendo en hogares con baja intensidad de trabajo,Proporción de personas viviendo en hogares con baja intensidad de trabajo,1,1
"Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura","Proporción de titulares de explotaciones agrícolas, respecto al total de personas trabajadoras en la agricultura",1,1
Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,1,1
Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,1,1
Tasa de desempleo de hombres,Tasa de desempleo de hombres,1,1
Tasa de desempleo de mujeres,Tasa de desempleo de mujeres,1,1
Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,Tasa de fecundidad de las adolescentes entre 10 y 14 años por cada 1.000 mujeres de ese grupo de edad,1,1
Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,Tasa de fecundidad de las adolescentes entre 15 y 19 años por cada 1.000 mujeres de ese grupo de edad,1,1
Tasa de mortalidad atribuida a intoxicaciones involuntarias,Tasa de mortalidad atribuida a intoxicaciones involuntarias,1,1
Tasa de mortalidad atribuida a la diabetes,Tasa de mortalidad atribuida a la diabetes,1,1
Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,1,1
Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,1,1
Tasa de mortalidad atribuida al cáncer,Tasa de mortalidad atribuida al cáncer,1,1
Tasa de mortalidad de menores de 5 años,Tasa de mortalidad de menores de 5 años,1,1
Tasa de mortalidad materna,Tasa de mortalidad materna,1,1
Tasa de mortalidad neonatal,Tasa de mortalidad neonatal,1,1
Tasa de mortalidad por lesiones debidas a accidentes de tráfico,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,1,1
Tasa de mortalidad por suicidio,Tasa de mortalidad por suicidio,1,1
Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,1,1
Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,1,1
